city_list,cloudiness,country,date,humidity,lat,long,max_temp,wind_speed
Chatellerault,0,FR,2019-04-07,75,46.8,0.53,48.99,6.93
Huntingdon,90,GB,2019-04-07,100,52.33,-0.18,46.99,4.7
Kjollefjord,75,NO,2019-04-07,58,70.95,27.35,28.4,14.99
Sambava,80,MG,2019-04-07,100,-14.27,50.17,78.82,10.78
Longyearbyen,20,NO,2019-04-07,78,78.22,15.63,8.6,4.7
Umm Kaddadah,0,SD,2019-04-07,17,13.6,26.69,69.82,6.42
Tungor,8,RU,2019-04-07,87,53.39,142.95,17.35,4.41
Port Macquarie,36,AU,2019-04-07,72,-31.43,152.91,64.4,8.05
Armidale,0,AU,2019-04-07,79,-30.51,151.67,48.13,3.06
Volot,88,RU,2019-04-07,64,57.93,30.71,46.51,5.08
Mirnyy,36,RU,2019-04-07,72,56.57,36.46,35.89,9.22
Along,76,IN,2019-04-07,79,28.17,94.8,57.13,1.72
Khurda,75,IN,2019-04-07,88,20.18,85.62,80.6,4.7
